URI,Notation,Label,Parent URI,Sort Priority
http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,nuts,NUTS,,0
http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/statistical-geographies,statistical-geographies,UK Government Statistical Geographies,,1
http://data.europa.eu/nuts/code/UKC,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,2
http://data.europa.eu/nuts/code/UKD,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,3
http://data.europa.eu/nuts/code/UKE,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,4
http://data.europa.eu/nuts/code/UKF,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,5
http://data.europa.eu/nuts/code/UKG,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,6
http://data.europa.eu/nuts/code/UKH,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,7
http://data.europa.eu/nuts/code/UKI,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,8
http://data.europa.eu/nuts/code/UKJ,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,9
http://data.europa.eu/nuts/code/UKK,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,10
http://data.europa.eu/nuts/code/UKL,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,11
http://data.europa.eu/nuts/code/UKM,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,12
http://data.europa.eu/nuts/code/UKN,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,13
http://data.europa.eu/nuts/code/UK,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,14
http://data.europa.eu/nuts/code/UKC1,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,15
http://data.europa.eu/nuts/code/UKC2,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,16
http://data.europa.eu/nuts/code/UKD1,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,17
http://data.europa.eu/nuts/code/UKD3,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,18
http://data.europa.eu/nuts/code/UKD4,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,19
http://data.europa.eu/nuts/code/UKD6,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,20
http://data.europa.eu/nuts/code/UKD7,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,21
http://data.europa.eu/nuts/code/UKE1,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,22
http://data.europa.eu/nuts/code/UKE2,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,23
http://data.europa.eu/nuts/code/UKE3,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,24
http://data.europa.eu/nuts/code/UKE4,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,25
http://data.europa.eu/nuts/code/UKF1,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,26
http://data.europa.eu/nuts/code/UKF2,,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,27
