Label,Description,Component Type,Codelist
BOP Services,,Dimension,http://gss-data.org.uk/def/concept-scheme/bop-services
Flow,Direction in which trade is measured,Dimension,http://gss-data.org.uk/def/concept-scheme/flow-directions
SITC Section,Standard International Trade Classification,Dimension,http://gss-data.org.uk/def/concept-scheme/sitc-sections
GBP Total,Total in British Pounds Sterling,Measure,
Net Mass,Net Mass explain me better,Measure,
Seasonal Adjustment,Whether the time-series has been adjusted to remove cyclical components,Dimension,http://gss-data.org.uk/def/concept-scheme/seasonal-adjustments
CDID,Central Database Identifier,Attribute,
Turnover,Turnover generated by the business,Dimension,http://gss-data.org.uk/def/concept-scheme/turnover-size-bands
Employment,Number of employees in the business,Dimension,http://gss-data.org.uk/def/concept-scheme/employment-size-bands
Age of Business,How long the business has been trading,Dimension,
Country of Ownership,Country of Ownership,Dimension,http://gss-data.org.uk/def/concept-scheme/countries-of-ownership
Product,Good or service being traded,Dimension,
Price Classification,Methodology for handling prices,Dimension,http://gss-data.org.uk/def/concept-scheme/price-classification
Trade Partner Geography,Location of the trade partner. Typically a foreign geography. The destination of exports or origin of imports.,Dimension,http://gss-data.org.uk/def/concept-scheme/ons-trade-areas-cord
Trade Reporter Geography,Location of the trade reporter. Typically a domestic geography. The destination of imports or origin of exports.,Dimension,
International Trade Basis,The methodological basis on which the trade statistics have been calculated,Dimension,http://gss-data.org.uk/def/concept-scheme/international-trade-basis
Investment Direction,Direction of foreign direct investment into the UK (inward) or abroad (outward),Dimension,http://gss-data.org.uk/def/concept-scheme/investment-direction
Export and Import Activity,Whether and how the business is trading internationally,Dimension,
Count of Businesses,The total number of businesses,Measure,
Count of Employees,The total number of employees,Measure,
Count,The total number of items,Measure,
Proportion of all Business,The proportion of all businesses that match the specified criteria,Measure,
Total Turnover,The total value of turnover,Measure,
SITC 4,Standard International Trade Classification Revision 4,Dimension,http://gss-data.org.uk/def/concept-scheme/sitc-4
ONS FDI Area,Area from which foreign direct investment (FDI) flows into/out of the UK,Dimension,http://gss-data.org.uk/def/concept-scheme/ons-fdi-area
FDI Component,Foreign direct investment (FDI) component being measured,Dimension,http://gss-data.org.uk/def/concept-scheme/fdi-component
FDI Industry,High level industry groupings based on SIC 2007,Dimension,http://gss-data.org.uk/def/concept-scheme/fdi-industry
HMRC Industry,HMRC Industry,Dimension,http://gss-data.org.uk/def/concept-scheme/hmrc-industry-groups
NUTS Geography,The Nomenclature of Territorial Units for Statistics (NUTS) is a geocode standard by Eurostat for referencing the subdivisions of the United Kingdom of Great Britain and Northern Ireland for statistical purposes.,Dimension,http://gss-data.org.uk/def/concept-scheme/nuts-geography
ONS Functional Category,ONS high level industry groupings based on SIC 2007,Dimension,http://gss-data.org.uk/def/concept-scheme/ons-functional-category
ONS Trade Areas ITIS,ONS Trade Areas ITIS,Dimension,http://gss-data.org.uk/def/concept-scheme/ons-trade-areas-itis
ITIS Service,ITIS Service,Dimension,http://gss-data.org.uk/def/concept-scheme/itis-services
ITIS Industry,ITIS Industry,Dimension,http://gss-data.org.uk/def/concept-scheme/itis-industry
SIC Industry,The current Standard Industrial Classification (SIC) used in classifying business establishments and other statistical units by the type of economic activity in which they are engaged.,Dimension,
Marker,Marker for special values,Attribute,http://gss-data.org.uk/def/concept-scheme/marker
ONS Partner Geography,ONS Partner Geography,Dimension,http://gss-data.org.uk/def/concept-scheme/ons-partner-geography
GBP Million,GBP Million,Measure,
